country,EPI.new
Afghanistan,31.0
Albania,52.2
Algeria,41.7
Angola,40.1
Antigua and Barbuda,55.6
Argentina,47.0
Armenia,44.9
Australia,63.1
Austria,68.9
Azerbaijan,40.5
Bahamas,55.9
Bahrain,35.3
Bangladesh,28.1
Barbados,53.1
Belarus,58.2
Belgium,66.8
Belize,47.4
Benin,37.8
Bhutan,43.3
Bolivia,45.3
Bosnia and Herzegovina,46.0
Botswana,49.2
Brazil,53.0
Brunei Darussalam,48.3
Bulgaria,56.2
Burkina Faso,42.2
Burundi,33.5
Cabo Verde,38.0
Cambodia,31.2
Cameroon,38.6
Canada,61.1
Central African Republic,39.0
Chad,35.9
Chile,49.6
China,35.4
Colombia,49.7
Comoros,38.2
Costa Rica,55.5
Cote d'Ivoire,42.9
Croatia,62.3
Cuba,52.5
Cyprus,53.9
Czech Republic,65.5
Dem. Rep. Congo,39.5
Denmark,67.7
Djibouti,32.3
Dominica,49.3
Dominican Republic,47.7
Ecuador,51.3
Egypt,43.7
El Salvador,41.6
Equatorial Guinea,41.7
Eritrea,29.0
Estonia,75.7
Eswatini,38.7
Ethiopia,36.3
Fiji,46.0
Finland,73.8
France,67.0
Gabon,53.3
Gambia,37.6
Georgia,47.3
Germany,74.5
Ghana,36.9
Greece,67.3
Grenada,45.8
Guatemala,32.5
Guinea,36.5
Guinea-Bissau,42.0
Guyana,49.0
Haiti,36.4
Honduras,40.2
Hungary,59.8
Iceland,64.3
India,27.6
Indonesia,33.6
Iran,41.8
Iraq,30.3
Ireland,65.8
Israel,48.0
Italy,60.3
Jamaica,48.5
Japan,61.4
Jordan,47.3
Kazakhstan,47.8
Kenya,36.9
Kiribati,44.3
Kuwait,44.4
Kyrgyzstan,42.8
Laos,26.3
Latvia,60.2
Lebanon,39.9
Lesotho,36.9
Liberia,34.3
Lithuania,64.1
Luxembourg,75.1
Madagascar,30.1
Malawi,35.1
Malaysia,41.0
Maldives,38.1
Mali,34.5
Malta,66.9
Marshall Islands,42.5
Mauritania,34.6
Mauritius,47.3
Mexico,44.2
Micronesia,40.8
Moldova,46.1
Mongolia,37.2
Montenegro,47.7
Morocco,39.5
Mozambique,39.0
Myanmar,27.1
Namibia,44.0
Nepal,33.1
Netherlands,66.9
New Zealand,57.3
Nicaragua,47.4
Niger,40.0
Nigeria,37.9
North Macedonia,50.3
Norway,69.9
Oman,51.3
Pakistan,25.5
Panama,52.9
Papua New Guinea,36.9
Paraguay,39.5
Peru,46.5
Philippines,32.1
Poland,64.2
Portugal,61.9
Qatar,46.8
Republic of Congo,41.6
Romania,57.3
Russia,46.7
Rwanda,33.9
Saint Lucia,51.1
Saint Vincent and the Grenadines,54.2
Samoa,47.1
Sao Tome and Principe,36.2
Saudi Arabia,42.5
Senegal,43.8
Serbia,49.8
Seychelles,47.9
Sierra Leone,39.9
Singapore,53.0
Slovakia,65.1
Slovenia,62.4
Solomon Islands,42.2
South Africa,42.7
South Korea,50.6
Spain,64.0
Sri Lanka,38.8
Sudan,39.1
Suriname,56.9
Sweden,70.3
Switzerland,67.8
Taiwan,50.1
Tajikistan,32.3
Tanzania,43.6
Thailand,45.7
Timor-Leste,49.9
Togo,35.7
Tonga,40.4
Trinidad and Tobago,52.5
Tunisia,45.3
Turkiye,37.2
Turkmenistan,40.6
Uganda,35.8
Ukraine,54.6
United Arab Emirates,51.6
United Kingdom,72.6
United States of America,57.2
Uruguay,44.1
Uzbekistan,42.6
Vanuatu,45.0
Venezuela,53.3
Viet Nam,24.6
Zambia,46.7
Zimbabwe,51.6
